SITE_ID,SITE_NAME,DEPTH,BATHYMETRY_AREA,ELEVATION_M
CZ-Zlu,Zlutice,19.6,148500,490.1
CZ-Zlu,Zlutice,19.7,145600,490
CZ-Zlu,Zlutice,19.8,142700,489.9
CZ-Zlu,Zlutice,19.9,139800,489.8
CZ-Zlu,Zlutice,20,136900,489.7
CZ-Zlu,Zlutice,20.1,134000,489.6
CZ-Zlu,Zlutice,20.2,129500,489.5
CZ-Zlu,Zlutice,20.3,124900,489.4
CZ-Zlu,Zlutice,20.4,120400,489.3
CZ-Zlu,Zlutice,20.5,115800,489.2
CZ-Zlu,Zlutice,20.6,111300,489.1
CZ-Zlu,Zlutice,20.7,106700,489
CZ-Zlu,Zlutice,20.8,102200,488.9
CZ-Zlu,Zlutice,20.9,97600,488.8
CZ-Zlu,Zlutice,21,93100,488.7
CZ-Zlu,Zlutice,21.1,88500,488.6
CZ-Zlu,Zlutice,21.2,83700,488.5
CZ-Zlu,Zlutice,21.3,78800,488.4
CZ-Zlu,Zlutice,21.4,74000,488.3
CZ-Zlu,Zlutice,21.5,69100,488.2
CZ-Zlu,Zlutice,21.6,64300,488.1
CZ-Zlu,Zlutice,21.7,59400,488
CZ-Zlu,Zlutice,21.8,54600,487.9
CZ-Zlu,Zlutice,21.9,49700,487.8
CZ-Zlu,Zlutice,22,44900,487.7
CZ-Zlu,Zlutice,22.1,40000,487.6
CZ-Zlu,Zlutice,22.2,37500,487.5
CZ-Zlu,Zlutice,22.3,35000,487.4
CZ-Zlu,Zlutice,22.4,32500,487.3
CZ-Zlu,Zlutice,22.5,30000,487.2
CZ-Zlu,Zlutice,22.6,27500,487.1
CZ-Zlu,Zlutice,22.7,25000,487
CZ-Zlu,Zlutice,22.8,22500,486.9
CZ-Zlu,Zlutice,22.9,20000,486.8
CZ-Zlu,Zlutice,23,17500,486.7
CZ-Zlu,Zlutice,23.1,15000,486.6
CZ-Zlu,Zlutice,23.2,14100,486.5
CZ-Zlu,Zlutice,23.3,13200,486.4
CZ-Zlu,Zlutice,23.4,12400,486.3
CZ-Zlu,Zlutice,23.5,11500,486.2
CZ-Zlu,Zlutice,23.6,10600,486.1
CZ-Zlu,Zlutice,23.7,9700,486
CZ-Zlu,Zlutice,23.8,8800,485.9
CZ-Zlu,Zlutice,23.9,7900,485.8
CZ-Zlu,Zlutice,24,7100,485.7
CZ-Zlu,Zlutice,24.1,6200,485.6
CZ-Zlu,Zlutice,24.2,5300,485.5
CZ-Zlu,Zlutice,24.3,4400,485.4
CZ-Zlu,Zlutice,24.4,3500,485.3
CZ-Zlu,Zlutice,24.5,2600,485.2
CZ-Zlu,Zlutice,24.6,1800,485.1
CZ-Zlu,Zlutice,24.7,900,485
CZ-Zlu,Zlutice,24.8,0,484.9
